,三義,二林,南投,埔里,大里,忠明,沙鹿,竹山,線西,苗栗,西屯,豐原
2022-06-17-15,4,7,5,3,5,7,2,4,7,3,6,7
2022-06-17-16,4,6,5,3,4,7,1,3,6,3,6,7
2022-06-17-17,4,6,6,3,4,7,1,3,6,3,5,7
2022-06-17-18,4,6,5,3,4,7,1,3,6,4,6,7
2022-06-17-19,5,6,6,2,5,7,1,3,6,4,6,8
2022-06-17-20,5,7,6,3,5,8,1,4,6,4,5,8
2022-06-17-21,5,7,6,4,5,8,2,4,6,5,7,8
2022-06-17-22,6,8,6,4,6,9,2,4,7,6,7,8
2022-06-17-23,6,9,6,4,6,9,2,4,7,7,9,7
2022-06-18-00,7,10,7,4,6,8,3,4,8,8,10,7
2022-06-18-01,6,10,6,4,6,8,3,4,10,8,8,7
2022-06-18-02,5,11,6,4,6,8,2,3,10,8,7,7
2022-06-18-03,4,11,6,3,6,7,2,3,11,8,6,6
2022-06-18-04,4,11,5,3,6,7,2,3,10,7,6,6
2022-06-18-05,3,10,4,3,6,7,2,3,9,6,6,5
2022-06-18-06,3,10,4,2,5,7,2,4,10,6,7,5
2022-06-18-07,2,10,4,2,5,7,3,4,11,6,6,5
2022-06-18-08,2,10,4,2,4,7,2,4,11,6,6,5
2022-06-18-09,2,11,4,2,5,6,2,4,11,5,7,5
2022-06-18-10,2,11,4,1,5,6,1,4,12,5,7,4
2022-06-18-11,2,11,4,1,5,6,2,4,11,4,8,4
2022-06-18-12,3,10,4,1,6,6,3,3,11,4,8,4
2022-06-18-13,3,9,5,1,6,6,3,3,10,5,9,6
2022-06-18-14,5,8,5,1,7,7,4,3,9,5,9,7
2022-06-18-15,5,8,6,1,7,7,4,3,9,5,7,8
2022-06-18-16,6,7,6,1,6,7,4,3,11,5,6,8
2022-06-18-17,6,7,6,1,6,7,4,3,11,4,5,8
2022-06-18-18,5,8,6,2,6,6,4,4,11,4,5,8
2022-06-18-19,5,9,6,3,6,6,4,4,10,3,6,7
2022-06-18-20,6,10,6,3,6,6,4,4,9,4,7,8
2022-06-18-21,7,11,6,4,6,7,4,5,9,5,7,8
2022-06-18-22,8,12,6,4,6,7,5,5,10,5,8,8
2022-06-18-23,9,13,5,4,6,7,5,5,10,6,7,8
2022-06-19-00,9,14,5,4,5,7,6,5,12,7,7,8
2022-06-19-01,9,13,7,4,5,6,6,5,13,7,7,8
2022-06-19-02,8,13,6,5,4,6,6,5,13,8,7,8
2022-06-19-03,9,14,6,4,5,6,6,6,13,7,7,8
2022-06-19-04,9,13,6,4,5,6,6,6,11,7,7,8
2022-06-19-05,10,14,5,3,5,7,6,6,11,6,6,8
2022-06-19-06,10,13,6,3,5,7,6,6,11,6,6,8
2022-06-19-07,10,13,6,3,5,7,5,6,11,7,6,9
2022-06-19-08,10,14,5,3,5,7,5,6,11,7,5,8
2022-06-19-09,10,15,6,4,5,8,6,6,12,8,5,8
2022-06-19-10,10,16,6,4,5,9,7,7,14,9,7,9
2022-06-19-11,10,16,8,3,6,11,10,8,16,10,8,9
2022-06-19-12,10,16,9,3,8,12,11,9,16,11,11,11
2022-06-19-13,11,14,10,3,10,14,12,10,17,12,12,13
2022-06-19-14,12,15,12,5,10,15,13,11,16,13,13,13
2022-06-19-15,13,14,12,8,12,14,13,12,15,14,14,15
2022-06-19-16,13,15,13,9,11,15,12,12,15,14,14,14
2022-06-19-17,13,16,13,8,12,14,12,12,16,13,14,15
2022-06-19-18,13,17,12,7,13,15,13,12,16,13,14,15
2022-06-19-19,13,18,11,6,12,15,13,11,17,13,14,14
2022-06-19-20,12,20,11,5,11,14,14,10,19,14,13,14
2022-06-19-21,11,21,10,5,10,13,13,11,18,14,13,14
2022-06-19-22,11,22,10,5,8,12,12,10,19,15,12,13
2022-06-19-23,10,21,9,6,7,10,11,10,19,14,10,13
2022-06-20-00,10,20,9,9,7,10,10,9,18,13,9,13
2022-06-20-01,10,19,8,8,7,10,10,8,18,13,9,12
2022-06-20-02,10,19,8,7,8,10,9,7,17,13,9,13
2022-06-20-03,9,19,8,7,8,10,9,7,17,12,9,13
2022-06-20-04,9,18,8,5,7,10,8,7,17,13,8,13
2022-06-20-05,10,17,8,6,7,10,8,7,16,13,8,13
2022-06-20-06,11,17,8,5,6,10,8,8,16,14,-999,13
2022-06-20-07,11,17,8,6,7,9,9,8,16,14,-999,13
2022-06-20-08,12,16,8,6,8,9,9,9,17,14,-999,13
2022-06-20-09,11,17,8,6,8,9,9,9,18,13,-999,12
2022-06-20-10,10,17,9,5,9,10,9,10,18,11,-999,11
2022-06-20-11,10,17,9,5,10,11,9,9,18,10,-999,11
2022-06-20-12,9,15,10,5,11,13,10,8,16,10,-999,11
2022-06-20-13,9,14,10,5,12,13,9,9,15,11,-999,12
2022-06-20-14,9,13,11,6,11,13,9,9,12,11,-999,13
2022-06-20-15,10,12,11,7,10,11,9,9,11,10,-999,13
2022-06-20-16,9,11,10,7,9,10,7,9,10,8,-999,11
2022-06-20-17,8,11,9,6,8,9,6,7,10,7,-999,10
2022-06-20-18,7,12,9,6,8,9,6,6,10,7,5,9
2022-06-20-19,7,13,9,5,9,9,7,6,10,7,6,9
2022-06-20-20,7,13,11,5,10,10,8,7,11,8,7,10
2022-06-20-21,8,14,13,5,10,10,9,9,13,8,8,11
2022-06-20-22,9,14,13,5,12,11,9,9,14,9,9,12
2022-06-20-23,9,15,13,5,12,11,9,10,15,9,9,13
2022-06-21-00,10,16,12,5,13,11,9,9,16,10,10,14
2022-06-21-01,10,16,10,5,12,11,9,8,16,11,11,14
2022-06-21-02,11,16,9,5,11,10,9,8,15,10,11,13
2022-06-21-03,10,15,8,4,10,9,8,7,15,10,11,13
2022-06-21-04,10,15,8,4,10,9,9,7,14,10,10,12
2022-06-21-05,9,15,8,5,9,9,8,7,14,9,9,12
2022-06-21-06,8,15,8,5,10,9,8,7,15,9,9,12
2022-06-21-07,7,15,8,6,10,10,8,7,14,8,9,12
2022-06-21-08,7,16,8,6,11,10,7,7,15,7,9,12
2022-06-21-09,7,15,8,6,11,10,8,6,15,7,9,12
2022-06-21-10,7,14,8,5,11,10,8,7,15,8,10,11
2022-06-21-11,8,15,9,5,11,11,9,8,17,9,11,11
2022-06-21-12,10,15,10,5,13,11,11,8,18,11,14,13
2022-06-21-13,12,13,11,5,14,13,12,9,17,12,15,15
2022-06-21-14,13,13,12,6,15,13,12,9,16,12,14,16
2022-06-21-15,14,11,12,8,13,13,11,9,14,12,13,16
2022-06-21-16,13,11,11,7,12,12,8,9,13,12,11,14
2022-06-21-17,11,11,9,7,10,10,7,7,12,10,10,12
2022-06-21-18,10,10,9,6,9,9,6,7,11,10,10,11
2022-06-21-19,9,11,8,5,8,9,6,6,11,9,10,10
2022-06-21-20,9,12,7,4,7,9,5,6,11,9,9,9
2022-06-21-21,9,13,7,4,7,8,5,6,11,8,10,10
2022-06-21-22,9,18,7,4,7,8,4,6,12,8,10,10
2022-06-21-23,9,19,7,4,6,8,5,6,13,8,10,9
2022-06-22-00,7,19,7,4,5,7,4,7,15,8,10,8
2022-06-22-01,6,20,7,3,4,7,5,7,15,7,8,8
2022-06-22-02,6,17,7,3,4,6,5,7,14,6,7,7
2022-06-22-03,6,17,7,2,4,6,5,8,13,6,6,8
2022-06-22-04,5,19,7,2,4,7,6,8,12,6,6,8
2022-06-22-05,4,19,6,3,4,7,5,7,11,6,6,8
2022-06-22-06,4,19,6,3,4,6,4,7,11,7,6,9
2022-06-22-07,3,19,6,3,4,6,3,6,11,8,6,9
2022-06-22-08,4,18,6,3,4,6,3,6,11,8,6,9
2022-06-22-09,4,16,6,3,4,7,3,6,12,8,7,9
2022-06-22-10,4,13,6,2,4,8,4,7,12,8,8,8
2022-06-22-11,4,12,7,2,6,10,4,8,11,7,9,8
2022-06-22-12,4,13,9,3,7,10,5,8,11,8,12,9
2022-06-22-13,5,13,11,3,8,10,5,10,10,-999,12,11
2022-06-22-14,6,13,11,4,9,10,4,10,9,-999,12,12
2022-06-22-15,6,12,13,6,9,10,4,10,9,-999,11,12
2022-06-22-16,5,11,12,8,8,9,4,9,8,-999,10,11
2022-06-22-17,4,15,12,9,9,10,4,8,8,-999,10,10
2022-06-22-18,4,16,11,11,9,10,5,9,8,-999,11,10
2022-06-22-19,4,18,9,10,9,10,5,9,8,-999,11,10
2022-06-22-20,5,21,9,11,9,9,5,8,9,-999,11,10
2022-06-22-21,7,21,9,11,9,9,6,9,10,-999,10,10
2022-06-22-22,8,23,9,11,9,9,6,8,11,-999,9,11
2022-06-22-23,8,23,9,11,8,9,5,8,11,-999,9,10
2022-06-23-00,8,20,9,12,8,9,5,9,10,-999,9,10
2022-06-23-01,8,19,8,11,8,9,5,8,10,-999,9,10
2022-06-23-02,8,18,8,11,9,9,5,8,11,-999,9,10
2022-06-23-03,7,17,8,11,9,9,6,8,12,-999,8,10
2022-06-23-04,8,18,8,10,9,9,6,7,13,-999,8,11
2022-06-23-05,7,16,8,10,10,9,7,7,13,-999,8,11
2022-06-23-06,8,16,8,10,9,10,7,7,13,-999,9,10
2022-06-23-07,8,18,7,9,9,11,6,7,13,-999,9,10
2022-06-23-08,8,17,7,8,10,12,7,8,13,-999,8,10
2022-06-23-09,9,16,7,8,9,12,7,8,13,-999,9,10
2022-06-23-10,9,14,7,8,9,11,6,8,13,-999,8,11
2022-06-23-11,8,12,6,7,8,10,6,7,13,-999,8,10
2022-06-23-12,9,11,5,7,8,10,6,6,12,-999,9,11
2022-06-23-13,8,11,5,6,8,10,6,5,12,-999,9,11
2022-06-23-14,9,10,6,5,8,10,6,5,12,-999,10,12
2022-06-23-15,9,10,7,5,9,10,6,5,11,-999,10,13
2022-06-23-16,9,9,8,6,9,9,6,6,11,-999,10,13
2022-06-23-17,8,9,9,7,8,9,6,6,11,-999,10,13
2022-06-23-18,7,10,8,7,8,8,6,7,11,-999,10,12
2022-06-23-19,6,10,7,6,7,7,6,6,11,-999,10,11
2022-06-23-20,5,11,6,6,7,6,5,5,10,-999,9,10
2022-06-23-21,4,11,5,5,7,6,4,4,9,-999,8,10
2022-06-23-22,4,9,5,5,7,7,3,3,9,-999,8,10
2022-06-23-23,4,9,5,5,7,8,2,2,9,-999,7,10
2022-06-24-00,4,8,5,4,7,8,2,2,9,-999,7,9
2022-06-24-01,3,8,5,4,7,7,2,2,8,-999,7,8
2022-06-24-02,2,9,4,3,6,7,2,2,8,-999,7,7
2022-06-24-03,1,9,4,2,5,7,2,2,8,-999,7,5
2022-06-24-04,1,9,4,2,6,6,3,2,9,-999,6,5
2022-06-24-05,1,9,4,2,6,5,3,2,9,-999,7,5
2022-06-24-06,1,9,4,2,5,5,2,2,8,-999,6,4
2022-06-24-07,1,9,4,2,5,4,2,1,8,-999,6,4
2022-06-24-08,2,9,4,2,4,4,2,2,8,-999,7,4
2022-06-24-09,2,9,4,2,5,5,2,2,8,-999,7,4
2022-06-24-10,2,8,4,2,6,6,2,3,9,-999,7,4
2022-06-24-11,2,8,4,2,7,6,3,3,9,-999,8,5
2022-06-24-12,4,8,5,2,8,7,4,4,9,-999,8,6
2022-06-24-13,5,7,6,1,8,7,4,4,8,-999,8,7
2022-06-24-14,7,6,7,1,8,7,4,5,7,-999,8,8
2022-06-24-15,7,5,7,2,7,7,4,6,6,-999,9,9
2022-06-24-16,9,5,7,3,7,7,3,5,5,-999,8,10
2022-06-24-17,8,5,6,3,7,6,3,4,4,-999,7,10
2022-06-24-18,6,6,5,3,7,6,3,4,4,-999,7,9
2022-06-24-19,6,7,5,3,8,6,3,3,5,-999,5,8
2022-06-24-20,4,9,5,3,8,6,3,3,5,-999,5,7
2022-06-24-21,5,9,5,4,8,6,3,2,6,-999,6,7
2022-06-24-22,5,9,5,4,7,6,2,2,6,-999,5,6
2022-06-24-23,4,10,5,4,6,5,2,2,6,-999,5,6
2022-06-25-00,4,9,4,4,5,5,2,2,7,-999,5,6
2022-06-25-01,3,10,4,4,5,4,3,2,7,-999,4,5
2022-06-25-02,2,11,4,4,5,4,3,2,8,-999,5,5
2022-06-25-03,2,11,3,3,5,4,2,2,8,-999,5,4
2022-06-25-04,1,12,3,3,4,4,2,2,8,-999,5,4
2022-06-25-05,1,12,4,2,4,4,2,2,8,-999,6,4
2022-06-25-06,2,12,4,2,5,4,2,1,8,-999,6,4
2022-06-25-07,2,12,4,2,5,5,2,1,8,-999,5,4
2022-06-25-08,2,11,3,2,6,5,1,1,9,-999,6,5
2022-06-25-09,3,11,3,2,7,5,1,1,8,-999,6,5
2022-06-25-10,3,10,3,3,7,5,1,2,8,-999,6,6
2022-06-25-11,3,10,3,3,8,5,1,1,9,-999,7,6
2022-06-25-12,4,10,3,4,7,-999,2,2,9,-999,7,7
2022-06-25-13,4,9,3,4,6,-999,3,1,10,-999,7,7
2022-06-25-14,5,9,3,3,6,-999,4,1,9,-999,7,7
2022-06-25-15,5,8,3,4,5,-999,5,1,8,-999,7,8
2022-06-25-16,5,8,4,4,6,6,5,1,7,-999,7,8
2022-06-25-17,5,8,4,5,6,6,4,2,7,-999,7,8
2022-06-25-18,5,8,4,6,5,5,4,3,8,-999,6,8
2022-06-25-19,5,8,4,5,5,5,4,3,8,-999,6,7
2022-06-25-20,4,8,4,4,5,6,4,3,8,-999,4,6
2022-06-25-21,3,7,4,4,5,6,4,3,8,-999,3,6
2022-06-25-22,3,6,4,4,5,7,4,2,9,-999,4,6
2022-06-25-23,3,7,3,4,5,7,3,3,9,-999,4,6
2022-06-26-00,3,8,3,4,4,6,3,3,10,-999,4,6
2022-06-26-01,3,9,4,4,4,6,2,3,11,-999,5,6
2022-06-26-02,3,10,4,3,4,6,2,3,10,-999,5,6
2022-06-26-03,3,11,4,2,4,6,2,3,10,-999,6,6
2022-06-26-04,4,11,4,2,4,6,2,2,10,-999,6,5
2022-06-26-05,3,10,4,2,5,6,1,1,9,-999,5,5
2022-06-26-06,3,9,4,2,5,6,2,1,9,-999,5,5
2022-06-26-07,3,8,3,3,6,6,2,1,9,-999,6,5
2022-06-26-08,2,8,3,4,5,6,2,2,9,-999,6,5
2022-06-26-09,2,8,3,4,6,6,3,3,9,-999,6,5
2022-06-26-10,2,8,3,5,6,6,2,3,8,-999,6,5
2022-06-26-11,1,7,4,3,5,5,2,3,8,-999,6,6
2022-06-26-12,2,7,4,2,4,6,2,2,8,-999,6,6
2022-06-26-13,3,7,4,2,4,6,3,2,8,-999,6,5
2022-06-26-14,3,7,4,1,5,6,4,2,9,-999,7,5
2022-06-26-15,3,6,5,2,6,8,4,3,8,-999,7,6
2022-06-26-16,3,6,6,2,6,7,4,3,7,-999,7,7
2022-06-26-17,3,5,6,3,6,6,3,3,6,-999,6,7
2022-06-26-18,3,4,6,3,5,5,3,2,5,-999,5,6
2022-06-26-19,2,4,6,3,5,4,3,1,4,-999,4,6
2022-06-26-20,2,4,6,3,5,4,3,1,4,-999,5,6
2022-06-26-21,2,4,6,4,5,4,2,1,4,-999,5,7
2022-06-26-22,3,4,5,4,7,4,2,1,4,-999,6,6
2022-06-26-23,4,4,5,4,8,5,2,1,4,-999,7,6
2022-06-27-00,4,5,4,4,7,5,2,1,5,-999,6,7
2022-06-27-01,4,6,4,4,7,5,3,1,6,-999,6,7
2022-06-27-02,4,6,4,4,5,4,3,1,6,-999,6,7
2022-06-27-03,4,6,4,4,6,5,3,0,7,-999,6,7
2022-06-27-04,4,6,5,5,6,5,4,1,7,-999,6,7
2022-06-27-05,4,6,5,4,7,6,4,1,7,-999,6,7
2022-06-27-06,3,7,5,4,7,6,4,1,7,-999,6,7
2022-06-27-07,3,7,5,4,7,6,4,1,8,-999,6,7
2022-06-27-08,4,8,5,4,8,7,4,2,8,-999,6,8
2022-06-27-09,4,8,5,3,7,7,4,2,8,-999,6,7
2022-06-27-10,3,8,5,3,6,7,4,2,8,-999,7,8
2022-06-27-11,3,8,5,3,7,9,4,2,8,-999,8,8
2022-06-27-12,3,7,6,3,7,9,3,2,7,-999,8,7
2022-06-27-13,2,6,6,2,8,10,4,3,7,-999,8,7
2022-06-27-14,3,6,8,3,9,11,3,4,6,-999,9,6
2022-06-27-15,3,6,9,5,9,10,3,5,6,-999,9,6
2022-06-27-16,3,6,10,6,8,10,3,6,6,-999,9,7
2022-06-27-17,3,7,10,7,8,9,2,6,5,-999,8,8
2022-06-27-18,3,7,10,8,7,8,2,6,5,-999,7,8
2022-06-27-19,3,6,9,8,7,7,2,6,5,-999,7,7
2022-06-27-20,3,7,9,8,6,6,2,6,5,-999,8,7
2022-06-27-21,3,8,8,7,6,6,2,6,5,-999,9,7
2022-06-27-22,4,8,9,7,6,5,2,6,5,-999,10,7
2022-06-27-23,5,9,9,8,6,5,3,6,6,-999,9,7
2022-06-28-00,5,8,9,9,5,4,3,6,5,-999,9,7
2022-06-28-01,5,8,9,10,5,4,3,7,5,-999,9,7
2022-06-28-02,5,10,9,10,5,4,2,7,5,-999,9,7
2022-06-28-03,5,11,9,9,7,5,1,7,6,-999,9,7
2022-06-28-04,5,12,9,8,7,5,2,7,6,-999,9,7
2022-06-28-05,6,13,9,7,7,5,3,7,8,-999,12,6
2022-06-28-06,5,13,9,6,7,5,5,8,10,-999,13,7
2022-06-28-07,5,13,9,5,7,6,6,9,9,-999,13,7
2022-06-28-08,6,14,9,5,7,7,6,9,10,-999,13,7
2022-06-28-09,6,13,9,5,8,9,6,10,10,-999,12,7
2022-06-28-10,7,13,9,5,8,9,6,10,10,-999,12,8
2022-06-28-11,7,14,11,5,9,10,5,10,10,-999,11,9
2022-06-28-12,7,13,12,6,8,10,5,10,9,-999,11,9
2022-06-28-13,7,13,14,6,8,10,5,11,9,-999,10,9
2022-06-28-14,7,12,14,7,8,10,5,12,9,-999,9,9
2022-06-28-15,7,10,13,8,9,9,5,14,8,-999,9,9
2022-06-28-16,7,10,13,8,9,9,5,15,9,-999,9,10
2022-06-28-17,7,9,12,7,8,9,5,14,9,-999,9,10
2022-06-28-18,7,11,11,7,9,10,5,14,9,-999,10,10
2022-06-28-19,8,13,10,6,9,11,5,13,9,-999,10,10
2022-06-28-20,8,13,10,6,10,11,5,11,9,-999,10,10
2022-06-28-21,8,13,9,6,11,10,5,10,9,-999,10,11
2022-06-28-22,8,13,9,5,9,10,5,9,9,-999,11,11
2022-06-28-23,7,12,9,5,8,9,5,8,10,-999,11,11
2022-06-29-00,7,12,8,5,8,10,6,7,11,-999,11,11
2022-06-29-01,8,12,8,4,7,10,7,6,12,-999,11,12
2022-06-29-02,8,11,7,4,7,10,7,5,13,-999,11,12
2022-06-29-03,9,12,7,3,7,10,9,4,13,-999,10,12
2022-06-29-04,9,12,7,3,6,8,9,3,14,-999,9,11
2022-06-29-05,9,14,7,3,6,8,9,3,13,-999,8,11
2022-06-29-06,9,15,7,3,6,9,10,3,12,-999,7,10
2022-06-29-07,10,15,7,3,7,8,10,4,13,-999,7,9
2022-06-29-08,10,15,8,4,8,8,11,5,14,-999,7,9
2022-06-29-09,10,15,9,4,9,8,13,5,15,-999,8,9
2022-06-29-10,12,14,9,4,10,9,14,5,16,-999,10,11
2022-06-29-11,12,13,9,4,11,11,13,5,15,-999,11,13
2022-06-29-12,12,13,9,3,12,12,12,6,14,-999,11,14
2022-06-29-13,13,14,11,3,12,13,11,8,14,-999,11,14
2022-06-29-14,11,14,13,5,12,13,10,10,13,-999,10,13
2022-06-29-15,10,15,15,7,12,11,10,12,12,-999,10,13
2022-06-29-16,10,14,15,8,12,11,10,10,12,-999,10,12
2022-06-29-17,10,13,13,8,11,10,10,6,11,-999,10,11
2022-06-29-18,10,13,11,6,10,9,8,4,10,-999,9,11
2022-06-29-19,11,13,9,5,9,9,8,4,9,-999,9,10
2022-06-29-20,10,-999,8,4,8,9,7,4,9,-999,8,10
2022-06-29-21,9,-999,8,3,7,9,6,4,9,-999,7,9
2022-06-29-22,8,-999,7,4,7,8,6,4,9,-999,6,7
2022-06-29-23,7,-999,7,4,7,8,6,4,9,-999,5,7
2022-06-30-00,6,-999,7,4,6,8,5,3,10,-999,5,6
2022-06-30-01,6,-999,6,4,5,7,4,2,10,-999,5,6
2022-06-30-02,5,-999,6,3,5,7,3,1,10,-999,5,6
2022-06-30-03,5,-999,6,2,3,7,3,1,9,-999,5,5
2022-06-30-04,5,-999,6,2,4,7,2,2,8,-999,5,5
2022-06-30-05,5,-999,6,1,4,7,3,2,9,-999,5,4
2022-06-30-06,5,-999,6,2,4,7,5,2,9,-999,5,4
2022-06-30-07,5,-999,6,2,4,7,6,1,9,-999,5,4
2022-06-30-08,5,-999,6,2,4,6,7,1,9,-999,6,3
2022-06-30-09,5,-999,7,3,5,7,7,1,10,-999,7,3
2022-06-30-10,5,-999,6,2,5,8,7,1,10,-999,7,4
2022-06-30-11,5,-999,5,2,7,8,7,2,11,-999,8,5
2022-06-30-12,6,-999,6,1,9,9,7,2,11,-999,9,6
2022-06-30-13,7,-999,6,1,10,10,8,3,11,-999,10,7
2022-06-30-14,8,-999,7,1,11,11,8,4,11,-999,10,8
2022-06-30-15,9,-999,11,1,10,12,7,5,11,-999,10,9
2022-06-30-16,8,-999,12,1,10,12,7,7,11,-999,10,9
2022-06-30-17,8,-999,15,3,10,12,7,7,11,-999,9,9
2022-06-30-18,9,-999,14,6,10,11,7,9,11,-999,9,9
2022-06-30-19,8,-999,14,8,11,11,7,9,11,-999,10,9
2022-06-30-20,7,8,14,9,11,11,7,11,12,-999,9,8
2022-06-30-21,6,10,15,11,12,12,6,11,10,-999,10,8
2022-06-30-22,5,11,15,11,13,12,6,11,10,-999,12,8
2022-06-30-23,5,12,16,12,13,13,7,10,10,-999,12,8
2022-07-01-00,6,12,17,13,14,13,8,10,11,-999,12,8
2022-07-01-01,7,11,16,13,14,13,8,10,11,-999,13,9
2022-07-01-02,7,9,17,13,15,15,9,9,14,-999,13,10
2022-07-01-03,8,8,17,13,15,14,9,8,16,-999,14,11
2022-07-01-04,10,8,16,13,16,15,10,8,17,-999,16,13
2022-07-01-05,11,9,17,13,16,16,12,7,17,-999,16,14
2022-07-01-06,12,11,17,13,17,15,14,7,17,-999,17,14
2022-07-01-07,11,14,17,13,18,16,15,7,19,-999,17,14
2022-07-01-08,12,15,17,12,19,16,16,6,20,-999,18,14
2022-07-01-09,12,15,15,12,18,16,15,7,20,-999,19,14
2022-07-01-10,12,14,15,11,17,17,15,6,21,-999,18,14
2022-07-01-11,13,13,13,9,16,16,17,8,20,-999,18,15
2022-07-01-12,15,13,13,9,16,17,21,10,20,-999,20,18
2022-07-01-13,17,14,14,9,17,19,26,11,20,-999,21,20
2022-07-01-14,19,15,14,8,19,20,29,12,18,-999,22,23
2022-07-01-15,19,14,14,8,19,22,29,11,17,-999,22,22
2022-07-01-16,17,13,12,7,18,21,25,10,16,-999,20,19
2022-07-01-17,14,13,10,6,15,19,22,8,17,-999,19,16
2022-07-01-18,12,17,9,5,12,18,18,6,18,-999,16,12
2022-07-01-19,12,17,8,4,13,15,15,5,18,-999,15,12
2022-07-01-20,12,17,9,4,13,14,13,4,18,-999,14,13
2022-07-01-21,13,17,9,4,13,20,13,4,18,-999,12,13
2022-07-01-22,14,15,9,5,13,20,12,4,18,-999,13,14
2022-07-01-23,14,16,9,5,10,20,12,4,16,-999,13,14
2022-07-02-00,13,16,9,5,10,20,10,4,15,-999,12,13
2022-07-02-01,12,14,8,6,9,14,9,4,15,-999,12,12
2022-07-02-02,10,14,7,5,8,13,9,4,15,-999,11,10
2022-07-02-03,9,15,6,5,8,12,9,4,16,-999,11,9
2022-07-02-04,9,14,7,4,8,12,9,3,16,-999,11,8
2022-07-02-05,10,15,7,4,8,12,8,2,16,-999,10,8
2022-07-02-06,10,13,7,4,8,12,9,3,15,-999,11,9
2022-07-02-07,11,14,8,4,8,12,9,3,14,-999,11,9
2022-07-02-08,10,15,8,4,8,12,10,3,14,-999,11,9
2022-07-02-09,10,15,8,4,8,11,11,3,15,-999,13,8
2022-07-02-10,10,14,8,4,9,11,10,4,17,-999,13,7
2022-07-02-11,10,12,8,4,10,11,9,4,17,-999,13,7
2022-07-02-12,10,11,8,4,10,11,9,4,17,-999,13,7
2022-07-02-13,10,10,9,4,11,11,9,5,15,-999,12,8
2022-07-02-14,10,-999,10,4,10,11,8,6,14,-999,12,8
2022-07-02-15,9,-999,10,4,10,10,7,7,13,-999,11,8
2022-07-02-16,8,-999,10,5,9,9,6,8,12,-999,11,8
2022-07-02-17,8,5,9,5,8,8,6,8,12,-999,9,8
2022-07-02-18,9,5,8,5,8,8,5,6,11,-999,9,9
2022-07-02-19,9,4,7,5,8,9,5,4,12,-999,9,9
2022-07-02-20,9,5,7,5,8,10,6,3,12,-999,8,10
2022-07-02-21,9,6,6,5,8,9,6,3,12,-999,7,11
2022-07-02-22,8,7,7,4,7,9,7,3,11,-999,6,11
2022-07-02-23,8,7,7,4,6,7,6,3,10,-999,6,11
2022-07-03-00,8,5,7,3,5,7,5,4,9,-999,7,9
2022-07-03-01,7,4,7,3,4,7,4,5,9,-999,7,8
2022-07-03-02,7,4,6,3,4,7,4,4,9,-999,6,8
2022-07-03-03,7,4,6,3,5,7,4,3,10,-999,5,7
2022-07-03-04,8,5,7,3,5,7,3,3,11,-999,4,6
2022-07-03-05,7,6,6,3,6,8,3,2,10,-999,4,5
2022-07-03-06,6,6,6,3,6,8,2,2,11,-999,5,4
2022-07-03-07,5,7,6,3,6,8,2,2,10,-999,5,4
2022-07-03-08,5,7,6,3,6,8,2,2,10,-999,5,3
2022-07-03-09,5,7,6,3,7,8,2,2,10,-999,6,3
2022-07-03-10,5,6,6,3,7,8,2,1,9,-999,6,3
2022-07-03-11,5,5,5,2,7,8,2,2,9,-999,5,3
2022-07-03-12,5,4,5,2,6,7,3,1,9,-999,5,3
2022-07-03-13,5,4,5,2,6,7,3,1,9,-999,5,3
2022-07-03-14,6,4,5,2,5,8,4,1,9,-999,5,4
2022-07-03-15,6,4,5,2,6,7,4,1,10,-999,5,4
2022-07-03-16,7,4,5,2,6,7,4,1,10,-999,6,4
2022-07-03-17,9,5,5,1,6,7,4,1,10,-999,7,5
2022-07-03-18,9,5,5,2,6,8,4,2,9,-999,8,6
2022-07-03-19,9,5,6,2,6,8,4,2,8,-999,9,6
2022-07-03-20,8,5,7,3,6,8,6,3,7,-999,9,6
2022-07-03-21,6,5,8,3,7,9,6,3,7,-999,9,6
2022-07-03-22,6,4,9,2,7,8,7,3,8,-999,9,6
2022-07-03-23,6,5,9,2,7,8,7,3,9,-999,9,6
2022-07-04-00,7,5,9,3,6,8,6,3,9,-999,9,7
2022-07-04-01,8,5,8,3,6,8,6,3,9,-999,8,7
2022-07-04-02,7,6,7,3,6,8,7,3,9,-999,8,8
2022-07-04-03,6,6,7,4,6,8,6,3,9,-999,8,8
2022-07-04-04,6,5,6,4,6,8,7,3,9,-999,8,8
2022-07-04-05,5,6,6,4,6,7,6,3,8,-999,8,8
2022-07-04-06,5,5,6,4,5,6,6,3,8,-999,7,8
2022-07-04-07,5,6,7,4,5,6,6,3,8,-999,7,7
2022-07-04-08,5,6,7,4,5,5,6,3,8,-999,6,7
2022-07-04-09,5,6,7,4,5,6,6,4,8,-999,6,7
2022-07-04-10,5,6,6,4,5,6,7,4,9,-999,7,7
2022-07-04-11,5,6,7,4,6,7,7,4,9,-999,8,7
2022-07-04-12,6,6,6,4,5,7,7,3,10,-999,8,7
2022-07-04-13,7,6,6,4,5,7,7,3,10,-999,8,7
2022-07-04-14,8,6,6,4,5,7,7,3,10,-999,7,7
2022-07-04-15,8,6,6,3,5,7,6,3,9,-999,7,6
2022-07-04-16,8,6,6,4,5,7,7,3,10,-999,8,7
2022-07-04-17,7,7,7,3,6,8,6,3,9,-999,9,8
2022-07-04-18,6,8,7,3,6,7,6,3,9,-999,9,9
