,三義,二林,南投,埔里,大里,忠明,沙鹿,竹山,線西,苗栗,西屯,豐原
2022-01-11-17,20,21,15,13,14,20,19,17,21,32,21,13
2022-01-11-18,28,26,19,14,17,24,26,19,26,37,26,15
2022-01-11-19,32,33,22,13,21,28,32,21,32,42,31,19
2022-01-11-20,35,39,27,15,24,32,38,24,37,45,35,21
2022-01-11-21,37,44,32,16,27,35,42,27,42,46,39,23
2022-01-11-22,36,48,36,15,29,38,41,31,43,44,40,25
2022-01-11-23,34,47,37,16,30,38,39,35,42,40,39,24
2022-01-12-00,32,45,38,16,30,38,35,38,39,36,38,25
2022-01-12-01,30,43,39,16,31,37,32,40,35,34,36,25
2022-01-12-02,27,41,38,16,32,35,31,42,33,31,33,25
2022-01-12-03,26,38,39,16,33,34,29,45,31,29,32,24
2022-01-12-04,24,36,41,17,32,32,28,47,30,27,30,22
2022-01-12-05,23,33,43,21,32,30,27,50,29,25,28,21
2022-01-12-06,21,31,46,24,30,29,25,52,27,23,27,21
2022-01-12-07,20,29,49,29,29,27,23,55,25,21,26,21
2022-01-12-08,18,27,52,31,28,26,22,57,24,18,25,21
2022-01-12-09,16,27,53,33,28,26,21,59,22,16,24,22
2022-01-12-10,16,27,53,33,32,30,21,60,22,16,26,23
2022-01-12-11,18,28,55,34,33,33,20,62,21,15,30,25
2022-01-12-12,17,29,54,34,37,35,18,63,20,15,32,28
2022-01-12-13,16,31,54,35,40,38,18,63,18,13,34,30
2022-01-12-14,15,29,55,36,39,36,17,63,16,11,31,32
2022-01-12-15,12,27,55,33,38,33,17,61,17,11,25,33
2022-01-12-16,13,25,56,28,38,31,16,60,19,10,22,34
2022-01-12-17,14,24,56,23,38,29,16,59,21,10,21,31
2022-01-12-18,19,25,57,23,38,28,16,60,21,10,21,28
2022-01-12-19,18,-999,58,23,36,27,17,60,21,10,21,25
2022-01-12-20,18,-999,58,26,32,26,17,60,19,12,20,22
2022-01-12-21,17,25,59,27,29,26,17,59,18,14,21,22
2022-01-12-22,15,25,58,30,29,24,16,57,18,13,20,22
2022-01-12-23,14,24,55,31,30,23,16,55,17,14,19,22
2022-01-13-00,13,23,54,30,30,22,15,53,16,13,18,22
2022-01-13-01,14,21,53,29,30,21,15,49,16,12,17,23
2022-01-13-02,13,21,50,29,28,22,14,45,16,13,17,22
2022-01-13-03,12,19,49,28,29,21,13,42,15,13,16,21
2022-01-13-04,12,18,48,27,29,20,12,40,14,13,15,19
2022-01-13-05,11,16,46,27,30,19,11,39,12,13,14,17
2022-01-13-06,10,15,44,26,30,17,10,38,12,11,13,15
2022-01-13-07,9,14,43,26,30,16,10,37,11,11,12,14
2022-01-13-08,9,14,40,24,31,15,10,36,11,10,12,13
2022-01-13-09,9,14,40,24,32,15,10,35,12,11,12,12
2022-01-13-10,9,15,37,23,29,16,11,34,13,14,12,12
2022-01-13-11,10,16,33,22,25,15,12,31,15,20,12,11
2022-01-13-12,12,18,30,22,24,16,14,29,17,21,12,11
2022-01-13-13,13,19,25,21,20,16,15,26,17,22,13,11
2022-01-13-14,14,19,23,20,21,16,15,24,17,22,14,12
2022-01-13-15,15,19,23,18,20,17,16,24,18,20,16,12
2022-01-13-16,17,19,22,17,20,18,16,25,20,22,17,13
2022-01-13-17,21,22,24,18,22,22,21,25,24,25,20,17
2022-01-13-18,26,26,26,19,23,25,25,26,27,28,23,22
2022-01-13-19,27,30,29,20,25,30,29,29,31,31,27,25
2022-01-13-20,29,34,32,21,28,33,31,32,33,33,30,27
2022-01-13-21,30,36,34,22,28,34,32,34,34,35,31,27
2022-01-13-22,30,36,36,22,28,34,34,36,35,37,31,26
2022-01-13-23,31,36,37,24,27,33,35,37,36,38,32,25
2022-01-14-00,33,41,38,23,28,32,37,38,38,41,34,24
2022-01-14-01,36,45,38,24,29,34,41,39,42,45,36,25
2022-01-14-02,39,50,38,23,30,37,46,40,47,49,40,26
2022-01-14-03,41,55,38,22,31,41,49,40,50,51,44,28
2022-01-14-04,43,55,38,23,31,45,51,40,53,52,47,30
2022-01-14-05,44,57,38,23,32,47,52,41,53,51,48,31
2022-01-14-06,43,58,39,23,32,47,51,41,53,50,47,31
2022-01-14-07,43,57,38,23,32,46,48,40,52,47,46,30
2022-01-14-08,42,56,39,22,32,44,45,39,48,43,44,30
2022-01-14-09,39,52,41,23,34,42,40,38,44,38,43,29
2022-01-14-10,36,48,39,24,37,41,36,37,39,39,41,28
2022-01-14-11,32,43,39,24,38,39,32,36,34,36,38,28
2022-01-14-12,28,38,38,25,37,36,30,37,32,34,34,27
2022-01-14-13,24,35,35,24,34,33,28,37,30,31,30,26
2022-01-14-14,22,32,35,20,31,29,25,39,29,24,28,25
2022-01-14-15,20,29,33,20,30,27,23,40,27,21,25,25
2022-01-14-16,19,27,33,20,28,25,20,39,25,19,23,25
2022-01-14-17,17,26,34,23,28,24,18,38,24,18,22,24
2022-01-14-18,16,23,34,26,26,23,16,39,20,16,21,24
2022-01-14-19,15,20,33,29,25,20,15,36,18,15,20,23
2022-01-14-20,14,19,31,29,23,19,14,36,16,15,18,23
2022-01-14-21,14,16,28,29,22,18,14,35,14,16,16,22
2022-01-14-22,14,16,25,30,22,18,14,34,14,15,16,22
2022-01-14-23,14,16,25,30,21,18,15,34,14,16,15,22
2022-01-15-00,14,15,26,31,21,18,14,33,15,16,16,21
2022-01-15-01,14,15,25,33,21,19,14,33,15,17,16,21
2022-01-15-02,13,15,25,33,20,19,14,31,16,17,15,21
2022-01-15-03,12,15,25,35,20,18,14,30,15,17,14,20
2022-01-15-04,11,16,23,35,20,19,14,30,14,16,14,19
2022-01-15-05,11,15,23,33,19,18,14,29,14,16,13,18
2022-01-15-06,12,16,23,33,20,18,13,30,14,16,13,18
2022-01-15-07,13,16,23,31,20,19,15,30,14,15,13,18
2022-01-15-08,14,15,24,31,21,19,15,31,14,16,15,19
2022-01-15-09,14,16,24,32,23,20,17,31,14,16,16,21
2022-01-15-10,13,17,25,33,26,22,18,32,14,15,16,21
2022-01-15-11,13,18,27,34,27,22,17,33,15,15,16,22
2022-01-15-12,13,20,27,32,27,22,18,34,16,15,16,22
2022-01-15-13,13,19,27,28,24,21,17,35,16,16,16,19
2022-01-15-14,14,18,25,28,23,20,18,35,16,17,16,19
2022-01-15-15,15,18,23,27,21,21,19,32,16,17,17,20
2022-01-15-16,16,17,21,27,20,20,18,30,16,17,17,19
2022-01-15-17,16,18,21,28,21,20,19,31,17,18,18,19
2022-01-15-18,26,20,21,26,22,21,20,32,17,20,18,20
2022-01-15-19,29,22,23,26,22,21,22,33,19,22,19,19
2022-01-15-20,31,24,24,28,25,23,24,34,20,23,21,21
2022-01-15-21,32,25,26,29,25,25,26,33,19,24,23,21
2022-01-15-22,26,25,28,30,30,25,26,33,20,24,25,20
2022-01-15-23,25,25,28,31,31,28,26,32,21,23,27,21
2022-01-16-00,25,25,27,31,31,29,27,32,21,23,28,19
2022-01-16-01,22,27,26,30,32,31,28,31,24,23,28,19
2022-01-16-02,21,29,27,29,30,33,31,30,25,23,30,19
2022-01-16-03,21,32,27,28,31,33,29,30,25,24,30,19
2022-01-16-04,21,33,28,27,31,33,30,29,25,24,30,19
2022-01-16-05,22,34,28,27,31,33,29,28,25,24,30,19
2022-01-16-06,18,35,27,26,31,32,27,27,26,23,29,18
2022-01-16-07,17,34,27,25,31,33,28,25,28,22,28,17
2022-01-16-08,16,38,26,24,30,31,27,26,29,22,28,17
2022-01-16-09,17,39,27,23,32,31,27,26,30,22,27,17
2022-01-16-10,16,39,27,22,34,31,25,25,30,22,25,17
2022-01-16-11,17,38,26,22,36,29,24,24,26,22,25,17
2022-01-16-12,17,34,26,20,36,27,23,25,23,21,23,17
2022-01-16-13,18,29,25,19,32,25,21,27,21,19,21,17
2022-01-16-14,18,27,23,17,28,23,19,29,20,19,20,18
2022-01-16-15,18,25,23,16,24,22,19,31,20,19,18,17
2022-01-16-16,19,24,22,17,23,22,19,29,22,20,20,17
2022-01-16-17,20,24,22,19,25,23,19,27,22,20,21,18
2022-01-16-18,22,25,23,20,26,24,20,27,23,21,22,20
2022-01-16-19,24,25,24,22,27,25,21,28,23,21,23,22
2022-01-16-20,24,25,26,24,28,25,22,30,23,22,22,24
2022-01-16-21,24,25,27,25,27,25,22,34,23,22,23,26
2022-01-16-22,24,23,26,26,27,24,23,36,22,22,22,26
2022-01-16-23,23,22,27,27,25,25,22,38,22,21,21,26
2022-01-17-00,22,22,26,27,25,25,21,37,23,21,21,25
2022-01-17-01,21,22,26,28,25,24,21,35,23,20,22,24
2022-01-17-02,20,22,27,29,25,24,20,34,22,19,21,22
2022-01-17-03,19,21,26,30,24,23,20,32,20,17,22,22
2022-01-17-04,18,20,26,30,22,21,19,32,18,16,20,22
2022-01-17-05,16,18,24,29,21,21,17,31,16,15,18,20
2022-01-17-06,15,16,23,29,20,19,16,30,15,13,16,18
2022-01-17-07,14,14,23,29,19,18,14,29,14,13,15,16
2022-01-17-08,12,13,21,28,18,18,13,29,14,12,15,14
2022-01-17-09,11,12,21,27,17,17,13,28,14,12,15,14
2022-01-17-10,10,13,20,27,16,16,13,27,13,12,14,13
2022-01-17-11,10,14,19,26,16,17,13,27,12,11,14,13
2022-01-17-12,10,14,21,23,16,17,14,27,12,11,14,13
2022-01-17-13,10,16,20,21,16,17,14,27,12,11,14,12
2022-01-17-14,11,15,22,20,16,16,13,27,13,11,15,13
2022-01-17-15,12,14,21,18,16,16,13,26,12,12,15,13
2022-01-17-16,11,14,21,18,17,16,12,25,11,11,15,13
2022-01-17-17,10,12,21,17,17,17,12,24,11,9,14,13
2022-01-17-18,8,12,20,17,16,16,11,26,9,9,13,12
2022-01-17-19,6,12,20,18,15,16,11,25,9,9,12,12
2022-01-17-20,6,12,19,18,14,14,11,24,8,9,11,10
2022-01-17-21,5,12,18,18,13,13,10,24,8,9,11,10
2022-01-17-22,6,12,17,15,12,13,10,22,9,9,11,9
2022-01-17-23,6,12,16,13,12,13,10,22,9,8,12,8
2022-01-18-00,5,12,15,12,12,13,10,21,9,8,11,9
2022-01-18-01,5,11,15,11,12,13,9,21,9,7,10,9
2022-01-18-02,4,10,14,12,11,14,9,21,9,7,9,8
2022-01-18-03,3,9,13,12,10,13,10,20,9,8,8,8
2022-01-18-04,4,9,12,12,10,13,9,19,9,8,9,8
2022-01-18-05,5,9,12,12,11,13,9,18,9,8,9,8
2022-01-18-06,6,9,12,11,11,13,9,18,9,8,9,9
2022-01-18-07,7,9,12,10,11,14,9,17,9,8,9,9
2022-01-18-08,7,10,13,10,12,14,9,17,9,8,9,9
2022-01-18-09,6,9,13,9,11,14,9,17,8,8,9,9
2022-01-18-10,6,10,15,9,12,14,10,18,8,9,9,8
